time,open,high,low,close
2024-04-27T06:45:00Z,62944,63083,62944,62979
2024-04-27T07:00:00Z,62973,63090,62945,63058
2024-04-27T07:15:00Z,63058,63093,63036,63054
2024-04-27T07:30:00Z,63045,63119,62994,62996
2024-04-27T07:45:00Z,62995,63007,62921,62927
2024-04-27T08:00:00Z,62932,62990,62919,62932
2024-04-27T08:15:00Z,62928,62988,62900,62984
2024-04-27T08:30:00Z,62977,62986,62905,62981
2024-04-27T08:45:00Z,62979,63019,62953,62983
2024-04-27T09:00:00Z,62979,62997,62856,62864
2024-04-27T09:15:00Z,62863,62937,62863,62924
2024-04-27T09:30:00Z,62923,62982,62893,62920
2024-04-27T09:45:00Z,62944,62956,62905,62929
2024-04-27T10:00:00Z,62940,62951,62862,62929
2024-04-27T10:15:00Z,62926,62945,62858,62922
2024-04-27T10:30:00Z,62921,62921,62774,62788
2024-04-27T10:45:00Z,62788,62795,62690,62758
2024-04-27T11:00:00Z,62757,62819,62653,62801
2024-04-27T11:15:00Z,62799,62854,62739,62847
2024-04-27T11:30:00Z,62847,62871,62801,62865
2024-04-27T11:45:00Z,62863,62894,62808,62813
2024-04-27T12:00:00Z,62821,63113,62792,63089
2024-04-27T12:15:00Z,63087,63092,62925,62926
2024-04-27T12:30:00Z,62933,63003,62901,62998
2024-04-27T12:45:00Z,63020,63059,62929,62992
2024-04-27T13:00:00Z,62996,63036,62965,63016
2024-04-27T13:15:00Z,63014,63196,63014,63077
2024-04-27T13:30:00Z,63071,63204,63026,63163
2024-04-27T13:45:00Z,63169,63190,63116,63173
2024-04-27T14:00:00Z,63173,63318,63106,63273
2024-04-27T14:15:00Z,63253,63363,63123,63123
2024-04-27T14:30:00Z,63122,63235,63053,63069
2024-04-27T14:45:00Z,63057,63117,63037,63093
2024-04-27T15:00:00Z,63092,63170,63047,63093
2024-04-27T15:15:00Z,63085,63116,62979,63008
2024-04-27T15:30:00Z,63006,63012,62851,62920
2024-04-27T15:45:00Z,62920,62936,62827,62918
2024-04-27T16:00:00Z,62914,62998,62901,62948
2024-04-27T16:15:00Z,62942,63052,62751,62751
2024-04-27T16:30:00Z,62750,62880,62750,62842
2024-04-27T16:45:00Z,62841,62889,62720,62720
2024-04-27T17:00:00Z,62713,62837,62713,62809
2024-04-27T17:15:00Z,62801,62901,62789,62868
2024-04-27T17:30:00Z,62891,63280,62849,63242
2024-04-27T17:45:00Z,63233,63584,63139,63377
2024-04-27T18:00:00Z,63369,63552,63128,63166
2024-04-27T18:15:00Z,63165,63165,62818,63021
2024-04-27T18:30:00Z,63016,63211,63016,63186
2024-04-27T18:45:00Z,63174,63378,63174,63293
2024-04-27T19:00:00Z,63286,63343,63151,63309
2024-04-27T19:15:00Z,63305,63343,63171,63212
2024-04-27T19:30:00Z,63208,63296,63195,63264
2024-04-27T19:45:00Z,63267,63338,63262,63315
2024-04-27T20:00:00Z,63317,63405,63230,63237
2024-04-27T20:15:00Z,63227,63253,63128,63136
2024-04-27T20:30:00Z,63131,63244,63131,63234
2024-04-27T20:45:00Z,63231,63259,63183,63237
