time,open,high,low,close
2024-06-03T00:00:00Z,67744,67744,67662,67680
2024-06-03T00:05:00Z,67682,67762,67682,67756
2024-06-03T00:10:00Z,67754,67802,67749,67802
2024-06-03T00:15:00Z,67821,67831,67720,67733
2024-06-03T00:20:00Z,67732,67733,67682,67693
2024-06-03T00:25:00Z,67693,67693,67637,67638
2024-06-03T00:30:00Z,67648,67693,67637,67665
2024-06-03T00:35:00Z,67665,67672,67590,67608
2024-06-03T00:40:00Z,67600,67662,67600,67650
2024-06-03T00:45:00Z,67654,67738,67620,67738
2024-06-03T00:50:00Z,67750,67824,67750,67768
2024-06-03T00:55:00Z,67768,67784,67731,67784
2024-06-03T01:00:00Z,67811,67865,67773,67844
2024-06-03T01:05:00Z,67834,67890,67834,67873
2024-06-03T01:10:00Z,67873,68200,67872,68116
2024-06-03T01:15:00Z,68099,68192,68090,68110
2024-06-03T01:20:00Z,68133,68281,68133,68194
2024-06-03T01:25:00Z,68246,68252,68163,68170
2024-06-03T01:30:00Z,68171,68282,68171,68282
2024-06-03T01:35:00Z,68281,68282,68237,68242
2024-06-03T01:40:00Z,68253,68255,68129,68131
2024-06-03T01:45:00Z,68128,68256,68128,68252
2024-06-03T01:50:00Z,68268,68500,68268,68401
2024-06-03T01:55:00Z,68406,68470,68375,68427
2024-06-03T02:00:00Z,68420,68675,68420,68613
2024-06-03T02:05:00Z,68624,68648,68611,68611
2024-06-03T02:10:00Z,68619,68647,68598,68639
2024-06-03T02:15:00Z,68651,68734,68651,68732
2024-06-03T02:20:00Z,68734,68734,68656,68712
2024-06-03T02:25:00Z,68715,68740,68569,68569
2024-06-03T02:30:00Z,68585,68617,68487,68487
2024-06-03T02:35:00Z,68479,68504,68388,68504
2024-06-03T02:40:00Z,68504,68504,68412,68412
2024-06-03T02:45:00Z,68389,68445,68372,68372
2024-06-03T02:50:00Z,68373,68454,68373,68420
2024-06-03T02:55:00Z,68430,68470,68373,68373
2024-06-03T03:00:00Z,68395,68401,68192,68192
2024-06-03T03:05:00Z,68235,68276,68231,68244
2024-06-03T03:10:00Z,68220,68265,68219,68254
2024-06-03T03:15:00Z,68267,68305,68252,68275
2024-06-03T03:20:00Z,68276,68292,68232,68232
2024-06-03T03:25:00Z,68232,68292,68232,68292
2024-06-03T03:30:00Z,68299,68355,68297,68355
2024-06-03T03:35:00Z,68355,68392,68355,68375
2024-06-03T03:40:00Z,68395,68396,68367,68396
2024-06-03T03:45:00Z,68396,68479,68396,68444
2024-06-03T03:50:00Z,68444,68444,68379,68395
2024-06-03T03:55:00Z,68335,68358,68306,68354
2024-06-03T04:00:00Z,68402,68403,68282,68311
2024-06-03T04:05:00Z,68324,68325,68273,68318
2024-06-03T04:10:00Z,68302,68315,68273,68286
2024-06-03T04:15:00Z,68308,68324,68265,68324
2024-06-03T04:20:00Z,68313,68436,68313,68416
2024-06-03T04:25:00Z,68416,68416,68290,68304
2024-06-03T04:30:00Z,68317,68462,68317,68436
2024-06-03T04:35:00Z,68431,68442,68386,68409
2024-06-03T04:40:00Z,68389,68414,68389,68396
2024-06-03T04:45:00Z,68396,68462,68369,68462
2024-06-03T04:50:00Z,68462,68536,68462,68536
2024-06-03T04:55:00Z,68536,68561,68468,68468
2024-06-03T05:00:00Z,68467,68515,68445,68445
2024-06-03T05:05:00Z,68450,68461,68405,68417
2024-06-03T05:10:00Z,68445,68479,68441,68472
2024-06-03T05:15:00Z,68472,68618,68472,68604
2024-06-03T05:20:00Z,68589,68592,68542,68560
2024-06-03T05:25:00Z,68569,68598,68541,68557
2024-06-03T05:30:00Z,68590,68643,68589,68643
2024-06-03T05:35:00Z,68643,68668,68628,68644
2024-06-03T05:40:00Z,68668,68717,68668,68717
2024-06-03T05:45:00Z,68716,68725,68634,68634
2024-06-03T05:50:00Z,68639,68671,68587,68610
2024-06-03T05:55:00Z,68610,68668,68610,68648
2024-06-03T06:00:00Z,68674,68689,68642,68647
2024-06-03T06:05:00Z,68641,68661,68606,68648
2024-06-03T06:10:00Z,68645,68825,68640,68806
2024-06-03T06:15:00Z,68795,68849,68725,68774
2024-06-03T06:20:00Z,68776,68886,68776,68886
2024-06-03T06:25:00Z,68886,69088,68886,69081
2024-06-03T06:30:00Z,69079,69106,68949,68951
2024-06-03T06:35:00Z,68990,69164,68982,69143
2024-06-03T06:40:00Z,69137,69164,69089,69128
2024-06-03T06:45:00Z,69148,69164,69009,69095
2024-06-03T06:50:00Z,69088,69095,68998,69024
2024-06-03T06:55:00Z,68998,69036,68966,69003
2024-06-03T07:00:00Z,69002,69117,69002,69086
2024-06-03T07:05:00Z,69105,69131,68965,69085
2024-06-03T07:10:00Z,69095,69127,69056,69080
2024-06-03T07:15:00Z,69077,69099,69056,69074
2024-06-03T07:20:00Z,69074,69074,68949,68949
2024-06-03T07:25:00Z,68940,68940,68849,68853
2024-06-03T07:30:00Z,68853,68892,68795,68825
2024-06-03T07:35:00Z,68841,68883,68813,68819
2024-06-03T07:40:00Z,68843,68885,68843,68885
2024-06-03T07:45:00Z,68879,68879,68814,68824
2024-06-03T07:50:00Z,68828,68841,68825,68829
2024-06-03T07:55:00Z,68828,68890,68826,68876
2024-06-03T08:00:00Z,68920,68940,68887,68938
2024-06-03T08:05:00Z,68939,68965,68900,68965
2024-06-03T08:10:00Z,68965,69007,68946,69007
2024-06-03T08:15:00Z,69001,69156,69001,69155
2024-06-03T08:20:00Z,69110,69142,69045,69091
2024-06-03T08:25:00Z,69104,69255,69104,69247
2024-06-03T08:30:00Z,69250,69289,69211,69289
2024-06-03T08:35:00Z,69289,69305,69231,69305
2024-06-03T08:40:00Z,69305,69312,69239,69274
2024-06-03T08:45:00Z,69270,69282,69139,69139
2024-06-03T08:50:00Z,69139,69199,69139,69198
2024-06-03T08:55:00Z,69198,69198,69139,69139
2024-06-03T09:00:00Z,69139,69163,69070,69070
2024-06-03T09:05:00Z,69129,69167,69048,69049
2024-06-03T09:10:00Z,69049,69081,69031,69074
2024-06-03T09:15:00Z,69065,69084,68915,68923
2024-06-03T09:20:00Z,68942,68960,68902,68902
2024-06-03T09:25:00Z,68902,68983,68899,68976
2024-06-03T09:30:00Z,68978,69070,68978,69059
2024-06-03T09:35:00Z,69065,69073,69046,69046
2024-06-03T09:40:00Z,69027,69049,69001,69023
2024-06-03T09:45:00Z,69022,69053,68982,69036
2024-06-03T09:50:00Z,69037,69083,69037,69076
2024-06-03T09:55:00Z,69077,69077,69001,69001
2024-06-03T10:00:00Z,69008,69137,69008,69124
2024-06-03T10:05:00Z,69093,69100,69073,69085
2024-06-03T10:10:00Z,69084,69089,69053,69063
2024-06-03T10:15:00Z,69060,69105,69059,69066
2024-06-03T10:20:00Z,69066,69114,69066,69074
2024-06-03T10:25:00Z,69076,69156,69076,69146
2024-06-03T10:30:00Z,69122,69141,69103,69122
2024-06-03T10:35:00Z,69116,69170,69095,69141
2024-06-03T10:40:00Z,69146,69152,69099,69099
2024-06-03T10:45:00Z,69088,69088,68998,69005
2024-06-03T10:50:00Z,69000,69000,68882,68918
2024-06-03T10:55:00Z,68924,68961,68897,68905
2024-06-03T11:00:00Z,68896,68925,68850,68888
2024-06-03T11:05:00Z,68897,69031,68897,69031
2024-06-03T11:10:00Z,69031,69048,69010,69048
2024-06-03T11:15:00Z,69054,69114,69036,69114
2024-06-03T11:20:00Z,69114,69233,69114,69180
2024-06-03T11:25:00Z,69180,69222,69170,69190
2024-06-03T11:30:00Z,69190,69222,68232,69125
2024-06-03T11:35:00Z,69125,69134,69007,69019
2024-06-03T11:40:00Z,69009,69089,69009,69089
2024-06-03T11:45:00Z,69097,69097,68972,69087
2024-06-03T11:50:00Z,69114,69137,69088,69114
2024-06-03T11:55:00Z,69112,69136,69058,69065
2024-06-03T12:00:00Z,69075,69113,69068,69102
2024-06-03T12:05:00Z,69124,69130,69117,69130
2024-06-03T12:10:00Z,69129,69222,69110,69222
2024-06-03T12:15:00Z,69222,69280,69190,69280
2024-06-03T12:20:00Z,69280,69422,69280,69419
2024-06-03T12:25:00Z,69425,69430,69325,69387
2024-06-03T12:30:00Z,69397,69463,69310,69310
2024-06-03T12:35:00Z,69306,69689,69280,69689
2024-06-03T12:40:00Z,69697,69766,69618,69618
2024-06-03T12:45:00Z,69657,69689,69505,69535
2024-06-03T12:50:00Z,69533,69691,69532,69690
2024-06-03T12:55:00Z,69696,69766,69640,69765
