time,open,high,low,close
2023-11-26T14:15:00Z,37509,37509,37318,37373
2023-11-26T15:00:00Z,37356,37520,37314,37513
2023-11-26T15:45:00Z,37512,37520,37278,37325
2023-11-26T16:30:00Z,37318,37360,37173,37240
2023-11-26T17:15:00Z,37238,37343,37224,37293
2023-11-26T18:00:00Z,37295,37345,37183,37207
2023-11-26T18:45:00Z,37204,37337,37199,37326
2023-11-26T19:30:00Z,37336,37420,37317,37388
2023-11-26T20:15:00Z,37388,37660,37388,37603
2023-11-26T21:00:00Z,37603,37651,37484,37563
2023-11-26T21:45:00Z,37563,37755,37563,37710
2023-11-26T22:30:00Z,37710,37730,37380,37399
2023-11-26T23:15:00Z,37396,37525,37340,37460
2023-11-27T00:00:00Z,37467,37559,37404,37549
2023-11-27T00:45:00Z,37549,37574,37491,37557
2023-11-27T01:30:00Z,37542,37553,37445,37483
2023-11-27T02:15:00Z,37456,37458,37248,37322
2023-11-27T03:00:00Z,37322,37351,37215,37286
2023-11-27T03:45:00Z,37291,37339,37275,37314
2023-11-27T04:30:00Z,37307,37408,37300,37386
2023-11-27T05:15:00Z,37392,37392,37307,37307
2023-11-27T06:00:00Z,37317,37430,37309,37394
2023-11-27T06:45:00Z,37404,37405,37184,37229
2023-11-27T07:30:00Z,37226,37345,37085,37345
2023-11-27T08:15:00Z,37344,37394,37317,37348
2023-11-27T09:00:00Z,37344,37471,37344,37446
2023-11-27T09:45:00Z,37447,37462,37229,37249
2023-11-27T10:30:00Z,37233,37247,36984,37065
2023-11-27T11:15:00Z,37098,37153,36907,37040
2023-11-27T12:00:00Z,37019,37116,36922,37003
2023-11-27T12:45:00Z,37009,37071,36842,36929
2023-11-27T13:30:00Z,36948,36995,36785,36854
2023-11-27T14:15:00Z,36851,36891,36731,36801
2023-11-27T15:00:00Z,36802,37063,36784,36964
2023-11-27T15:45:00Z,36952,36954,36727,36941
2023-11-27T16:30:00Z,36939,37147,36889,37122
2023-11-27T17:15:00Z,37117,37145,36889,36920
2023-11-27T18:00:00Z,36929,37073,36895,37013
2023-11-27T18:45:00Z,37009,37065,36935,37042
2023-11-27T19:30:00Z,37039,37070,36800,36920
2023-11-27T20:15:00Z,36906,36964,36807,36807
2023-11-27T21:00:00Z,36798,37055,36798,36999
2023-11-27T21:45:00Z,36986,37059,36971,37053
2023-11-27T22:30:00Z,37057,37153,37038,37144
2023-11-27T23:15:00Z,37144,37281,37116,37240
2023-11-28T00:00:00Z,37256,37340,37189,37339
2023-11-28T00:45:00Z,37325,37325,37171,37186
2023-11-28T01:30:00Z,37183,37215,37130,37164
2023-11-28T02:15:00Z,37158,37211,37128,37183
2023-11-28T03:00:00Z,37176,37202,37128,37129
2023-11-28T03:45:00Z,37140,37151,37087,37108
2023-11-28T04:30:00Z,37096,37102,36908,36935
2023-11-28T05:15:00Z,36946,36963,36883,36922
2023-11-28T06:00:00Z,36912,37077,36902,37068
2023-11-28T06:45:00Z,37067,37124,36988,37008
2023-11-28T07:30:00Z,37020,37148,37003,37049
2023-11-28T08:15:00Z,37051,37061,36939,36940
2023-11-28T09:00:00Z,36939,37118,36932,37104
2023-11-28T09:45:00Z,37122,37137,37022,37022
2023-11-28T10:30:00Z,37032,37117,37032,37112
2023-11-28T11:15:00Z,37113,37251,37108,37251
2023-11-28T12:00:00Z,37251,37273,37174,37268
2023-11-28T12:45:00Z,37268,37268,37150,37258
2023-11-28T13:30:00Z,37260,37450,37259,37402
2023-11-28T14:15:00Z,37398,37468,37363,37375
2023-11-28T15:00:00Z,37373,37567,37318,37510
2023-11-28T15:45:00Z,37493,37687,37457,37627
2023-11-28T16:30:00Z,37631,37988,37631,37950
2023-11-28T17:15:00Z,37949,38292,37949,38273
2023-11-28T18:00:00Z,38284,38293,38086,38134
2023-11-28T18:45:00Z,38134,38183,37922,38153
2023-11-28T19:30:00Z,38161,38420,38094,38209
2023-11-28T20:15:00Z,38208,38372,38094,38274
2023-11-28T21:00:00Z,38293,38325,38024,38024
2023-11-28T21:45:00Z,38023,38061,37948,37989
2023-11-28T22:30:00Z,38016,38019,37855,37927
2023-11-28T23:15:00Z,37926,37926,37700,37839
2023-11-29T00:00:00Z,37842,37913,37700,37904
2023-11-29T00:45:00Z,37904,38105,37880,38058
2023-11-29T01:30:00Z,38074,38085,37900,37982
2023-11-29T02:15:00Z,37992,38006,37869,37958
2023-11-29T03:00:00Z,37954,38034,37928,37933
2023-11-29T03:45:00Z,37942,37980,37899,37909
2023-11-29T04:30:00Z,37911,38000,37898,37992
2023-11-29T05:15:00Z,37991,38060,37924,38060
2023-11-29T06:00:00Z,38064,38168,37994,38129
2023-11-29T06:45:00Z,38139,38245,38091,38170
2023-11-29T07:30:00Z,38175,38195,38074,38189
2023-11-29T08:15:00Z,38194,38381,38126,38363
2023-11-29T09:00:00Z,38364,38364,38229,38242
2023-11-29T09:45:00Z,38230,38457,38128,38144
2023-11-29T10:30:00Z,38142,38180,37923,38067
2023-11-29T11:15:00Z,38066,38174,38061,38129
2023-11-29T12:00:00Z,38117,38298,38079,38223
2023-11-29T12:45:00Z,38225,38277,38188,38198
2023-11-29T13:30:00Z,38188,38268,38110,38152
2023-11-29T14:15:00Z,38145,38157,37818,37839
2023-11-29T15:00:00Z,37829,37915,37597,37813
2023-11-29T15:45:00Z,37820,37888,37669,37720
2023-11-29T16:30:00Z,37725,37844,37660,37745
2023-11-29T17:15:00Z,37744,37883,37684,37790
2023-11-29T18:00:00Z,37791,37833,37678,37807
2023-11-29T18:45:00Z,37807,37928,37776,37835
2023-11-29T19:30:00Z,37834,37894,37798,37838
2023-11-29T20:15:00Z,37838,37865,37637,37662
2023-11-29T21:00:00Z,37675,37782,37600,37705
2023-11-29T21:45:00Z,37702,37818,37687,37818
2023-11-29T22:30:00Z,37818,37837,37739,37831
2023-11-29T23:15:00Z,37836,37868,37790,37863
2023-11-30T00:00:00Z,37864,37873,37774,37831
2023-11-30T00:45:00Z,37821,37855,37736,37788
2023-11-30T01:30:00Z,37786,37823,37702,37750
2023-11-30T02:15:00Z,37749,37913,37696,37885
2023-11-30T03:00:00Z,37887,37996,37845,37994
2023-11-30T03:45:00Z,37996,38173,37996,38055
2023-11-30T04:30:00Z,38051,38078,37951,37968
2023-11-30T05:15:00Z,37969,37988,37869,37898
2023-11-30T06:00:00Z,37888,37950,37825,37825
2023-11-30T06:45:00Z,37825,37905,37806,37836
2023-11-30T07:30:00Z,37831,37871,37741,37741
2023-11-30T08:15:00Z,37741,37751,37598,37675
2023-11-30T09:00:00Z,37671,37732,37618,37732
2023-11-30T09:45:00Z,37722,37755,37701,37755
2023-11-30T10:30:00Z,37755,37764,37655,37718
2023-11-30T11:15:00Z,37718,37909,37708,37896
2023-11-30T12:00:00Z,37909,37923,37836,37855
2023-11-30T12:45:00Z,37849,37913,37773,37892
2023-11-30T13:30:00Z,37898,37968,37510,37725
2023-11-30T14:15:00Z,37727,37782,37597,37657
2023-11-30T15:00:00Z,37659,37729,37564,37580
2023-11-30T15:45:00Z,37577,37658,37521,37638
2023-11-30T16:30:00Z,37629,37740,37609,37653
2023-11-30T17:15:00Z,37658,37766,37641,37750
2023-11-30T18:00:00Z,37750,37820,37716,37772
2023-11-30T18:45:00Z,37751,37769,37699,37752
2023-11-30T19:30:00Z,37750,37809,37735,37746
2023-11-30T20:15:00Z,37744,37779,37702,37757
2023-11-30T21:00:00Z,37736,37777,37706,37753
2023-11-30T21:45:00Z,37753,37814,37721,37790
2023-11-30T22:30:00Z,37797,37800,37619,37656
2023-11-30T23:15:00Z,37662,37737,37645,37719
2023-12-01T00:00:00Z,37731,37741,37628,37681
2023-12-01T00:45:00Z,37677,37881,37647,37881
2023-12-01T01:30:00Z,37882,37963,37841,37911
2023-12-01T02:15:00Z,37913,38080,37879,37998
2023-12-01T03:00:00Z,38011,38069,37959,38043
2023-12-01T03:45:00Z,38042,38200,38004,38199
2023-12-01T04:30:00Z,38200,38247,38132,38144
2023-12-01T05:15:00Z,38154,38213,38119,38136
2023-12-01T06:00:00Z,38143,38172,38092,38167
2023-12-01T06:45:00Z,38177,38352,38167,38350
2023-12-01T07:30:00Z,38342,38342,38234,38315
2023-12-01T08:15:00Z,38325,38362,38238,38328
2023-12-01T09:00:00Z,38331,38707,38331,38604
2023-12-01T09:45:00Z,38623,38839,38593,38656
2023-12-01T10:30:00Z,38640,38672,38533,38588
2023-12-01T11:15:00Z,38586,38672,38576,38608
2023-12-01T12:00:00Z,38594,38643,38377,38377
2023-12-01T12:45:00Z,38395,38447,38315,38410
2023-12-01T13:30:00Z,38449,38449,38271,38291
2023-12-01T14:15:00Z,38275,38405,38234,38338
2023-12-01T15:00:00Z,38329,38436,38298,38415
2023-12-01T15:45:00Z,38413,38810,38412,38810
2023-12-01T16:30:00Z,38801,39000,38661,38755
2023-12-01T17:15:00Z,38761,38829,38715,38817
